Questions,Answers
,
What does EU stand for?,European Union
What is the EU?,The EU is a unique economic and political union between 27 European countries.
When was the EU created?,The EU per se was founded on November 1st 1993.
Why was the EU created?,"The EU represents one in a series of efforts to integrate Europe since World War II. At the end of the war, several western European countries sought closer economic, social, and political ties to achieve economic growth and military security and to promote a lasting reconciliation between France and Germany."
Which countries first joined the EU?,"In 1951, six countries founded the European Coal and Steel Community, and later, in 1957, the European Economic Community and the European Atomic Energy Community. These countries were Belgium, Germany, France, Italy, Luxembourg and the Netherlands."
How many countries are in the EU?,There are 27 countries in the EU.
Which currency is used in the EU?,There are nine currencies of the European Union as of 2020 used officially by member states. The euro accounts for the majority of the member states with the remainder operating independent monetary policies.
Have any countries left the EU?,The UK is the only country to have ever left the EU.
Are any countries trying to join the EU?,"There are 7 recognised candidates for membership in the European Union: Turkey (since 1999), North Macedonia (since 2005), Montenegro (since 2010), Serbia (since 2012), Albania (since 2014), Moldova (since 2022), and Ukraine (since 2022)."
What are the potential candidates of the EU?,"These are countries which have a clear prospect of joining the EU in the future but have not yet been granted candidate country status. These countries are Bosnia and Herzegovina, Kosovo and Georgia."
Can you show me a map of the EU?,*Photo*
How many languages are spoken in the EU?,"The EU has 24 official languages: Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Irish, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovenian, Spanish and Swedish"
How can a country join the EU?,"A country wishing to join the EU submits a membership application to the Council, which asks the Commission to assess the applicant’s ability to meet the Copenhagen criteria. Based on the Commission's opinion, the Council then decides on a negotiation mandate. Negotiations are then formally opened on a subject-by-subject basis. Due to the huge volume of EU rules and regulations each candidate country must adopt as national law, the negotiations take time to complete. The candidates are supported financially, administratively and technically during this pre-accession period."
What are the main institutions of the EU?,"The main institutions are the European Parliament, the European Council and the European Commission."
What is the European Parliament?,The European Parliament is the EU's law-making body. It is directly elected by EU voters every 5 years. Its current President is Roberta Metsola and it has 705 members. It was first founded in 1952.
How are the members of the European Parliament decided?,"The European Parliament is made up of 705 Members elected from the 27 Member States of the enlarged European Union. Since 1979 MEPs have been elected by direct universal suffrage for five years. Each country decides on the form its election will take but must guarantee equality of the sexes and a secret ballot. EU elections are by proportional representation. Seats are allocated based on the population of each Member State. Slightly more than a third of MEPs are women. MEPs are grouped by political affinity, not nationality."
What is the Council of the European Union?,"Government ministers from each EU country meet to discuss, amend and adopt laws, and coordinate policies. The ministers have the authority to commit their governments to the actions agreed on in the meetings. Together with the European Parliament, the Council is the main decision-making body of the EU. Every six months a presidency is given among the member states of the EU, where their function is to chair meetings of the council, determine its agendas etc."
What is the European Council?,"The European Council brings together EU leaders to set the EU's political agenda. It represents the highest level of political cooperation between EU countries. Its current President is Charles Michel and the members include Heads of state or government of EU countries, the  European Council President, and the European Commission President. It was first founded in 1974."
What is the difference between the European Council and the Council of the European Union?,The Council of the European Union alongside the European Parliament are the main decision-making body of the EU. Not to be confused with the European Council which holds quarterly summits where EU leaders meet to set the broad direction of EU policymaking.
What is the European Commission?,"The European Commission is the EU's politically independent executive arm. It is alone responsible for drawing up proposals for new European legislation, and it implements the decisions of the European Parliament and the Council of the EU. Its president is Ursula von der Leyen and its members are a team or 'College' of Commissioners, 1 from each EU country. It was first established in 1958."
What is the EU's motto?,The EU's motto is 'United in Diversity'. It first appeared in 2000; it symbolises the union of all the countries with the common goals of peace and prosperity whilst still allowing each country to practise its individuality. 
Is there a flag that represents the EU?,"Yes, there is one, which both represents the European Union and, more broadly, the identity and unity of Europe. It features a circle of 12 gold stars on a blue background, where the number 12 is described as the ideal number and the circle is for unity."
Can you show me the flag of the EU?,*Photo*
Is there a national anthem?,"In fact, there is. In 1972, the Council of Europe adopted Beethoven's ""Ode to Joy"" theme as its anthem. In 1985, it was adopted by EU leaders as the official anthem of the European Union. There are no words to the anthem; it consists of music only. In the universal language of music, this anthem expresses the European ideals of freedom, peace and solidarity."
Is there a central bank in the EU?,The European Central Bank (ECB) is the central bank of the 19 European Union countries which have adopted the euro. The main task of the European Central Bank (ECB) is to conduct monetary policy in the region by managing the supply of the euro and maintaining price stability. It was first established in 1998.
How much does each country contribute towards the EU?,"Each country pays the same proportion of its national income to the EU budget, so richer countries pay more and poorer ones less. The EU spends the money on a wide range of projects, but about three-quarters of the budget, every year goes to two main areas: agriculture and the development of poorer areas of the EU. So, poorer countries and those with a lot of farms get more."
How often do the institutions meet?,"It usually meets 4 times a year, but the President can convene additional meetings to address urgent issues. It generally decides issues by consensus – but by unanimity or qualified majority in some cases."
Is any country considered a leader of the EU?,"The presidency is currently, as of January 2023, held by Sweden. They are sometimes incorrectly referred to as the 'president of the European Union'. The presidency's function is to chair meetings of the council, determine its agendas, set a work programme and facilitate dialogue both at Council meetings and with other EU institutions. "
How is the presidency of the Council of the European Union decided?,"Each member state takes its turn. For the Council presidency, there is no election; every country takes its turn. This means that every member state – however big or small – holds the presidency of the Council."
What are the EU's goals for 2023?,"The European Commission has six ambitions set in place. A European Green Deal, a Europe fit for the digital age, an Economy that works for people, a stronger Europe in the world, Promoting our European way of life, and a new push for European democracy."
